lat,lng,Segment,customer_city
-20.386870311646724,-43.506711008289,Silent-Premium,ouro preto
-23.48261088368666,-46.54357200000001,Silent-Premium,guarulhos
-26.404862461231307,-50.14356351293541,Silent-Premium,papanduva
-23.322352248071105,-46.58973137816835,Silent-Premium,mairipora
-3.416241028054149,-39.03098931818123,Silent-Premium,paracuru
-19.822707429915194,-43.96083024138544,Silent-Premium,belo horizonte
-30.02748908742571,-51.221771549541245,Silent-Premium,porto alegre
-27.65387393727499,-52.29538929205589,Silent-Premium,erechim
-22.949477453257384,-43.18835583888282,Silent-Premium,rio de janeiro
-19.94452180045008,-43.93951993345966,Silent-Premium,belo horizonte
-23.396139497504166,-46.315214004717525,Silent-Premium,aruja
-16.301250866446065,-48.95872808067442,Silent-Premium,anapolis
-23.160985042991708,-46.917868021668745,Silent-Premium,jundiai
-23.5904159681434,-46.53891009922671,Silent-Premium,sao paulo
-7.204802853413785,-39.31694800908709,Silent-Premium,juazeiro do norte
-23.171412122396,-45.79514513411988,Silent-Premium,sao jose dos campos
-5.3775820011209206,-49.130283442045155,Silent-Premium,maraba
-31.306912970797605,-54.07423522339987,Silent-Premium,bage
-26.22580808081601,-52.67412588626672,Silent-Premium,pato branco
-19.8595462052484,-43.95570128711987,Silent-Premium,belo horizonte
-22.989590846290746,-46.997789431292496,Silent-Premium,valinhos
-20.004409586010045,-43.84298511195,Silent-Premium,nova lima
-23.586860527740978,-46.76648527553521,Silent-Premium,sao paulo
-23.718475739930227,-46.61681505571586,Silent-Premium,diadema
-19.78884929309248,-43.98459783986375,Silent-Premium,belo horizonte
-28.27442783728939,-51.68771690866047,Silent-Premium,caseiros
-16.698923923627095,-49.27468664557785,Silent-Premium,goiania
-19.144288218101547,-40.622464664126696,Silent-Premium,sao domingos do norte
-22.81683345406545,-47.025226240735094,Silent-Premium,campinas
-23.609074345694275,-46.65970305492974,Silent-Premium,sao paulo
-3.780273678991284,-38.59518355354902,Silent-Premium,fortaleza
-23.635235230068247,-46.57806347619599,Silent-Premium,sao caetano do sul
-12.979088414896395,-38.50999366097296,Silent-Premium,salvador
-26.39492561350507,-53.08104604988514,Silent-Premium,campo ere
-14.62311393670911,-57.49069053333387,Silent-Premium,tangara da serra
-22.8150116968618,-45.183611426362205,Silent-Premium,guaratingueta
-19.929184326374482,-44.11320547867971,Silent-Premium,contagem
-23.635116922557604,-46.60340351304175,Silent-Premium,sao paulo
-23.669762689897244,-46.668562720862795,Silent-Premium,sao paulo
-27.654333563838055,-48.48006946565008,Silent-Premium,florianopolis
-22.726238760826234,-47.368535315448625,Silent-Premium,santa barbara d'oeste
-19.39783256179756,-40.067626658499954,Silent-Premium,linhares
-27.59525894226445,-48.55346741363679,Silent-Premium,florianopolis
-24.318551607574076,-50.64808654105371,Silent-Premium,telemaco borba
-23.542605,-47.43756377699231,Silent-Premium,votorantim
-23.500984159587976,-46.66086110505508,Silent-Premium,sao paulo
-22.761224033831567,-43.45611220461891,Silent-Premium,nova iguacu
-1.3472829402922597,-48.39942593160029,Silent-Premium,ananindeua
-15.657852426977136,-47.79668919191656,Silent-Premium,brasilia
-23.593806586733223,-46.67685095129546,Silent-Premium,sao paulo
-23.533145287264094,-46.71661485858965,Silent-Premium,sao paulo
-19.806759628738437,-43.96023667415893,Silent-Premium,belo horizonte
-12.970364907969731,-38.43510051848935,Silent-Premium,salvador
-29.18931886171497,-54.86751986111217,Silent-Premium,santiago
-31.748349080212343,-52.375660627531886,Silent-Premium,pelotas
-29.58697668096932,-51.08815065070117,Silent-Premium,dois irmaos
-22.971588385030664,-43.33006828639565,Silent-Premium,rio de janeiro
-22.702484891482463,-46.76670562101103,Silent-Premium,amparo
-19.39783256179756,-40.067626658499954,Silent-Premium,linhares
-21.55587254471016,-45.43768015981176,Silent-Premium,varginha
-12.968642761839638,-38.46596017808847,Silent-Premium,salvador
-22.04223445060299,-47.89217108205857,Silent-Premium,sao carlos
-23.678104522967278,-46.60230578963004,Silent-Premium,diadema
-23.201927077990646,-46.88743947195444,Silent-Premium,jundiai
-22.897514536211027,-43.184015450040405,Silent-Premium,rio de janeiro
-7.33300768583963,-47.47040432631057,Silent-Premium,carolina
-22.439818245602737,-45.47034162015221,Silent-Premium,itajuba
-23.20026337044312,-46.78186483246769,Silent-Premium,campo limpo paulista
-18.419180064533588,-49.245982439487435,Silent-Premium,itumbiara
-29.11487327576648,-51.12507066917881,Silent-Premium,caxias do sul
-22.915108068555597,-43.56323432791364,Silent-Premium,rio de janeiro
-23.220810878485008,-44.7185363572174,Silent-Premium,parati
-23.495491646811058,-46.84718581311382,Silent-Premium,barueri
-23.624298054632632,-46.75525539543194,Silent-Premium,sao paulo
-23.7409648815278,-46.55499681266943,Silent-Premium,sao bernardo do campo
-26.313388752986302,-48.85602003497027,Silent-Premium,joinville
-15.843053489167191,-48.030175344364245,Silent-Premium,brasilia
-19.836652531363598,-44.006507782748585,Silent-Premium,belo horizonte
-8.115392897166615,-34.8970405649489,Silent-Premium,recife
-20.347485704912433,-40.4244652014834,Silent-Premium,viana
-23.492108129354868,-46.49212026810552,Silent-Premium,sao paulo
-22.936923942837232,-43.02393151551399,Silent-Premium,niteroi
-23.22754226513965,-46.84432210192777,Silent-Premium,varzea paulista
-19.74570399283904,-43.94251767343394,Silent-Premium,vespasiano
-22.918822238624934,-47.057363661877595,Silent-Premium,campinas
-23.50983930030584,-46.48854484221535,Silent-Premium,sao paulo
-22.619672383515827,-51.237708564439885,Silent-Premium,nantes
-15.65163879785368,-47.80128038671236,Silent-Premium,brasilia
-26.914710861989555,-48.66094867263115,Silent-Premium,itajai
-23.009617598517572,-46.853418489894764,Silent-Premium,itatiba
-23.63580786663679,-46.71368647000955,Silent-Premium,sao paulo
-23.551689676483026,-46.62076350725653,Silent-Premium,sao paulo
-23.62087271994926,-46.68512455646613,Silent-Premium,sao paulo
-22.47402490515725,-45.61721480055336,Silent-Premium,brazopolis
-23.51503460560334,-46.44060207799066,Silent-Premium,sao paulo
-23.98479796586644,-46.300849044480685,Silent-Premium,santos
-23.000643279177964,-43.55315755479796,Silent-Premium,rio de janeiro
-23.548283805860088,-46.6593134403312,Silent-Premium,sao paulo
-23.671511696087475,-46.775827932425365,Silent-Premium,sao paulo
-22.944152786057888,-43.03479115358205,Silent-Premium,niteroi
-22.04009712079893,-48.33461071406133,Silent-Premium,trabiju
-23.712859098700683,-47.41623869785824,Silent-Premium,piedade
-8.899569604266645,-36.49414935729672,Silent-Premium,garanhuns
-22.761224033831567,-43.45611220461891,Silent-Premium,nova iguacu
-27.25715480415264,-49.93294827666639,Silent-Premium,pouso redondo
-14.068487619139265,-42.488189883855696,Silent-Premium,caetite
-16.012933266327465,-48.0620074255435,Silent-Premium,brasilia
-22.4063415,-54.43873785086151,Silent-Premium,vicentina
-23.594892328051355,-46.62905793949449,Silent-Premium,sao paulo
-23.41882311285771,-47.41656602261881,Silent-Premium,sorocaba
-25.505462726963817,-49.32490259697523,Silent-Premium,curitiba
-23.50623958312654,-47.44285134540369,Silent-Premium,sorocaba
-16.289706445695494,-48.94861499999996,Silent-Premium,anapolis
0.0534539422786059,-51.05853619886202,Silent-Premium,macapa
-8.068680262003001,-34.928193738131284,Silent-Premium,recife
-19.89852966212726,-44.03415449217125,Silent-Premium,contagem
-12.970364907969731,-38.43510051848935,Silent-Premium,salvador
-19.31467881193368,-46.05001823735698,Silent-Premium,sao gotardo
-22.916833051618703,-43.21798092630852,Silent-Premium,rio de janeiro
-17.596518603530626,-44.73515887606278,Silent-Premium,varzea da palma
-23.02499883377845,-45.5572207464897,Silent-Premium,taubate
-15.820469999999991,-47.91317625000001,Silent-Premium,brasilia
-22.502132813499088,-44.116472954757946,Silent-Premium,volta redonda
-23.535378806278445,-46.67067326270981,Silent-Premium,sao paulo
-22.532779999999946,-44.20283853649948,Silent-Premium,barra mansa
-20.52804807780614,-47.38827901323783,Silent-Premium,franca
-20.808642337297865,-49.347107383801536,Silent-Premium,sao jose do rio preto
-23.57550224257029,-46.73282464946043,Silent-Premium,sao paulo
-16.36196685190559,-46.898106210100984,Silent-Premium,unai
-26.313388752986302,-48.85602003497027,Silent-Premium,joinville
-22.75708980422579,-43.46870686576724,Silent-Premium,nova iguacu
-19.655593440697324,-43.233615008425176,Silent-Premium,itabira
-29.892226969737827,-50.26569650087135,Silent-Premium,osorio
-23.881680445694144,-46.73161918804371,Silent-Premium,sao paulo
-20.98706816471372,-47.65557417620856,Silent-Premium,brodowski
-23.506049208479613,-46.71737739541604,Silent-Premium,sao paulo
-23.653538203924427,-46.314006433256225,Silent-Premium,suzano
-20.24795806800733,-40.271542735284825,Silent-Premium,vitoria
-21.73729242983738,-43.4017297456287,Silent-Premium,juiz de fora
-23.561779395363267,-46.47581652435226,Silent-Premium,sao paulo
-23.502729436580296,-46.42199569191893,Silent-Premium,sao paulo
-30.01763382175244,-51.12602317306241,Silent-Premium,porto alegre
-23.569905991949916,-46.57176444240866,Silent-Premium,sao paulo
-23.180229756498715,-46.85773745019897,Silent-Premium,jundiai
-19.984193818802098,-44.00209721994925,Silent-Premium,belo horizonte
-19.992208515133537,-44.01636425512896,Silent-Premium,belo horizonte
-23.444955764643066,-46.54749436393359,Silent-Premium,guarulhos
-23.322352248071105,-46.58973137816835,Silent-Premium,mairipora
-19.83901541909516,-43.97403905857227,Silent-Premium,belo horizonte
-19.63863100472473,-43.90171846264042,Silent-Premium,lagoa santa
-12.993898656818015,-38.46577870601301,Silent-Premium,salvador
-23.587998359974627,-46.74086722085809,Silent-Premium,sao paulo
-22.922738625147183,-42.88789487860715,Silent-Premium,marica
-10.21291719244266,-36.83783485960422,Silent-Premium,propria
-22.941046165690945,-43.17617823078362,Silent-Premium,rio de janeiro
-24.6186285873495,-53.32171363389954,Silent-Premium,cafelandia
